date,AAPL,MSI,SBUX
1/1/2020,67.8542,60.3,28.185
1/2/2020,68.5614,60.9,28.07
1/3/2020,66.8428,60.83,28.13
1/4/2020,66.7156,60.81,27.915
1/5/2020,66.6556,61.12,27.775
1/6/2020,65.7371,61.43,27.17
1/7/2020,65.7128,62.03,27.225
1/8/2020,64.1214,61.26,26.655
1/9/2020,63.7228,60.88,26.675
1/10/2020,64.4014,61.9,27.085
1/11/2020,63.2571,60.28,26.605
1/12/2020,64.1385,60.63,26.64
1/13/2020,63.5099,62.09,27.285
1/14/2020,63.0571,62.21,27.425
1/15/2020,61.4957,62.03,27.435
1/16/2020,60.0071,62.5,27.85
1/17/2020,61.5919,62.97,28.255
1/18/2020,60.8088,63.11,28.55
1/19/2020,61.5117,62.64,29.125
1/20/2020,61.6742,62.75,29.335
1/21/2020,62.5528,62.56,29.305
1/22/2020,61.2042,62.13,29.14
1/23/2020,61.1928,62.22,29.2925
1/24/2020,61.7857,62.34,28.84
1/25/2020,63.3799,62.07,28.83
1/26/2020,65.1028,61.64,28.465
1/27/2020,64.9271,61.67,28.415
1/28/2020,64.5828,62.4,28.715
1/29/2020,64.6756,62.43,28.525
1/30/2020,65.9871,63.61,28.69
1/31/2020,66.2256,63.29,28.345
2/1/2020,65.8765,63.46,28.525
2/2/2020,64.5828,63.56,28.455
2/3/2020,63.2371,64.03,28.475
2/4/2020,61.2728,63.7,28.435
2/5/2020,61.3988,63.7,29.13
2/6/2020,61.7128,62.8,28.85
2/7/2020,61.1028,62.99,29.055
2/8/2020,60.4571,62.67,28.9
2/9/2020,60.8871,63.17,29.06
2/10/2020,60.9971,63.64,28.705
2/11/2020,62.2414,64.69,28.9
2/12/2020,62.0471,64.63,29.2875
2/13/2020,61.3999,63.87,29.545
2/14/2020,59.9785,61.83,28.855
2/15/2020,60.8914,62.96,29.28
2/16/2020,57.5428,62.13,29.085
2/17/2020,56.0071,61.15,28.86
2/18/2020,55.7899,61.72,29.2025
2/19/2020,56.9528,61.78,29.32
2/20/2020,58.0185,61.75,29.695
2/21/2020,57.9231,56.02,29.915
2/22/2020,58.3399,56.39,30.25
2/23/2020,59.6007,56.8,30
2/24/2020,61.4457,57.44,30.29
2/25/2020,63.2542,57.2,30.42
2/26/2020,62.7557,56.37,30.07
2/27/2020,63.6457,56.89,30.19
2/28/2020,64.2828,57.29,30.935
2/29/2020,65.8156,56.95,31.24
3/1/2020,65.5225,56.79,31.095
3/2/2020,66.2628,57,31.205
3/3/2020,65.2528,56.78,31.18
3/4/2020,64.7099,56.48,31.5485
3/5/2020,64.9628,56.17,31.41
3/6/2020,63.4085,56.89,31.76
3/7/2020,61.2642,57.1,32.035
3/8/2020,62.0825,57.53,31.775
3/9/2020,61.8942,57.84,32.065
3/10/2020,63.2757,58.25,31.915
3/11/2020,62.8085,57.77,32.125
3/12/2020,63.0505,57.3,32.075
3/13/2020,63.1628,57.48,31.76
3/14/2020,63.5928,57.81,31.68
3/15/2020,63.0627,58.53,32.13
3/16/2020,63.5642,58.32,31.815
3/17/2020,64.5114,58.54,31.735
3/18/2020,64.2478,57.96,31.57
3/19/2020,64.3885,57.83,31.73
3/20/2020,64.1871,57.41,31.665
3/21/2020,63.5871,56.27,31.17
3/22/2020,62.6371,56.92,31.51
3/23/2020,63.1158,56.94,32.52
3/24/2020,62.6985,56.61,33.055
3/25/2020,62.5142,56.38,32.71
3/26/2020,61.7414,56.26,32.225
3/27/2020,62.2807,57.19,32.985
3/28/2020,61.4357,56.93,32.8
3/29/2020,61.7142,57.33,33.015
3/30/2020,61.6814,57.35,33.5475
3/31/2020,60.4285,56.78,33.205
4/1/2020,59.5482,55.5,32.61
4/2/2020,59.0714,55.82,32.345
4/3/2020,57.5057,55.59,32.005
4/4/2020,57.5185,56.35,32.37
4/5/2020,56.8671,57.49,32.9
4/6/2020,56.2542,57.84,32.845
4/7/2020,56.6471,57.73,32.755
4/8/2020,58.4599,57.98,33.12
4/9/2020,59.7842,57.49,33.395
4/10/2020,60.1142,57.26,33.65
4/11/2020,59.6314,57.93,33.86
4/12/2020,59.2928,57.86,34.145
4/13/2020,60.3357,58.03,34.065
4/14/2020,60.1042,58.43,34.05
4/15/2020,61.0411,59.05,34.67
4/16/2020,60.9299,59.54,34.86
4/17/2020,61.0628,59.17,34.83
4/18/2020,61.4564,59.32,34.76
4/19/2020,61.4728,59.42,34.1
4/20/2020,61.6797,59.36,34.24
4/21/2020,60.7071,59.85,34.395
4/22/2020,60.9014,59.87,34.51
4/23/2020,59.8557,59.98,33.83
4/24/2020,62.9299,56.04,33.305
4/25/2020,62.6428,54.25,34.085
4/26/2020,62.9985,54.26,36.68
4/27/2020,63.9699,54.01,36.225
4/28/2020,64.7599,54.35,35.965
4/29/2020,64.6471,54.83,35.6445
4/30/2020,65.2394,55.32,36.74
5/1/2020,66.0771,56.02,37.115
5/2/2020,67.0642,56.1,36.985
5/3/2020,66.4642,56.4,36.4
5/4/2020,66.4256,56.48,36.095
5/5/2020,65.8585,57.13,36.47
5/6/2020,64.9214,57.36,36.4
5/7/2020,66.7656,57.44,36.465
5/8/2020,69.9385,57.84,36.32
5/9/2020,71.2142,57.71,35.925
5/10/2020,71.1299,56.96,35.37
5/11/2020,71.7614,57.15,35.355
5/12/2020,72.5342,57.09,35.145
5/13/2020,71.5814,57.05,35.33
5/14/2020,71.7656,56.06,35.3565
5/15/2020,71.8514,56.33,35.95
5/16/2020,71.5742,56.74,35.985
5/17/2020,71.8528,56.55,35.94
5/18/2020,69.7985,56.12,35.08
5/19/2020,70.1279,56.39,35.48
5/20/2020,70.2428,56.19,35.59
5/21/2020,69.6022,56.01,35.26
